"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1992,1,1,120123.765725061,1.02229342311043,47540.1244654819
1993,1,1,223600.264340707,0.811117874294762,77672.671163455
1994,1,1,159209.467987861,0.916607420694579,57539.3257538626
1995,1,1,91715.6660784887,0.738906428192066,32105.5292781091
1996,1,1,230139.78532842,0.947599850791429,93618.8909092705
1997,1,1,204068.171279846,0.800090352398069,73860.7087290815
1998,1,1,120714.479588494,0.783198344604856,42431.0343435879
1999,1,1,143099.895651247,1.01684452295967,58483.4992517338
2000,1,1,208702.518980035,0.884257958906684,81602.0873059567
2001,1,1,223560.648750993,0.64903753635171,74754.7595313109
2002,1,1,142149.615764186,1.0646672636158,59943.5555334561
2003,1,1,140479.147333617,0.8542590456101,50715.9487560391
2004,1,1,57299.9441952503,0.991378786414825,22238.9635223296
2005,1,1,64471.1907303942,0.53988994868811,20739.3184833226
2006,1,1,69556.7080483411,0.714432418858377,24274.4545312297
2007,1,1,17478.5705027606,0.532377565021633,5796.51702048898
2008,1,1,82482.0618216755,0.723234810082378,34653.6641529518
2009,1,1,107267.533582302,0.388553641866503,30195.6045343466
2010,1,1,83001.457374354,0.236533078116834,16809.0036892364
2011,1,1,59447.7136076013,0.415102794008707,17142.3316785553
2012,1,1,38439.428005106,0.30802137005278,8381.57002514848
2013,1,1,119991.497633718,0.574760732269614,37246.1942608468
2014,1,1,145926.483757265,0.544899815290942,44294.5840705842
2015,1,1,167274.770208735,0.57162412715219,53578.7620993931
2016,1,1,108853.111856379,0.550826832551745,32836.3753454543
2017,1,1,81151.9657745816,0.580600571308716,24884.0381551715
